timestep,Earth x,Earth y,Earth z,Moon x,Moon y,Moon z
65200.0,79124.16367389698,5132.051482217524,0.0,355790110.7246512,70167914.29969604,0.0
65300.0,79365.9017870017,5155.665247883164,0.0,355767166.9937475,70273873.08138712,0.0
65400.0,79608.00581263244,5179.351302235152,0.0,355744188.533531,70379825.00204934,0.0
65500.0,79850.47573366463,5203.109755585046,0.0,355721175.3456271,70485770.05121289,0.0
65600.0,80093.31153294697,5226.940718243334,0.0,355698127.43166363,70591708.21840802,0.0
65700.0,80336.51319330152,5250.844300519432,0.0,355675044.793271,70697639.49316509,0.0
65800.0,80580.08069752366,5274.820612721679,0.0,355651927.4320821,70803563.86501458,0.0
65900.0,80824.01402838208,5298.8697651573375,0.0,355628775.3497324,70909481.32348706,0.0
66000.0,81068.31316861878,5322.991868132591,0.0,355605588.54785985,71015391.8581132,0.0
66100.0,81312.97810094911,5347.1870319525415,0.0,355582367.02810496,71121295.45842376,0.0
66200.0,81558.00880806171,5371.455366921209,0.0,355559110.7921108,71227192.11394964,0.0
66300.0,81803.40527261855,5395.796983341526,0.0,355535819.84152293,71333081.81422181,0.0
66400.0,82049.16747725486,5420.211991515341,0.0,355512494.1779895,71438964.54877137,0.0
66500.0,82295.29540457924,5444.700501743409,0.0,355489133.80316114,71544840.30712949,0.0
66600.0,82541.78903717357,5469.262624325399,0.0,355465738.71869105,71650709.07882747,0.0
66700.0,82788.64835759302,5493.898469559881,0.0,355442308.9262349,71756570.85339671,0.0
66800.0,83035.87334836609,5518.608147744334,0.0,355418844.42745095,71862425.6203687,0.0
66900.0,83283.46399199456,5543.391769175138,0.0,355395345.22400004,71968273.36927505,0.0
67000.0,83531.42027095352,5568.249444147573,0.0,355371811.3175454,72074114.08964746,0.0
67100.0,83779.74216769132,5593.1812829558185,0.0,355348242.7097529,72179947.77101775,0.0
67200.0,84028.42966462966,5618.187395892951,0.0,355324639.402291,72285774.40291782,0.0
67300.0,84277.4827441635,5643.267893250941,0.0,355301001.39683056,72391593.97487971,0.0
67400.0,84526.90138866108,5668.42288532065,0.0,355277328.695045,72497406.47643554,0.0
67500.0,84776.68558046395,5693.652482391832,0.0,355253621.2986104,72603211.89711756,0.0
67600.0,85026.83530188692,5718.956794753128,0.0,355229879.2092052,72709010.22645807,0.0
